year,month,outcome,lon,lat,shark_type,shark_length,num_sharks,provoked,victim_activity,age,gender
2013,11,fatal,114.9666667,-33.85,white shark,3,1,unprovoked,boarding,35,male
2013,12,injured,153.4666667,-28.1,wobbegong,1.5,1,unprovoked,diving,33,female
2013,12,injured,152.9166667,-31.45,wobbegong,1.7,1,unprovoked,boarding,26,male
2014,2,uninjured,115.55,-32,white shark,4,1,provoked,spearfishing,70,male
2014,3,uninjured,144.2666667,-38.36666667,white shark,1.4,1,unprovoked,boarding,42,male
2014,3,injured,152.9166667,-31.46666667,wobbegong,1.8,1,provoked,swimming,40,male
2014,4,fatal,149.9833333,-36.71666667,white shark,3.5,1,unprovoked,swimming,63,female
2014,5,uninjured,134.8666667,-33.63333333,white shark,4.6,1,unprovoked,boarding,35,male
2014,5,injured,153.4166667,-27.98333333,bull shark,1.3,1,unprovoked,swimming,29,female
2014,6,injured,138.4666667,-35.63087083,white shark,1.5,1,unprovoked,boarding,39,male
2014,6,injured,138.7166667,-35.5,white shark,2.8,1,unprovoked,boarding,15,male
2014,9,fatal,153.6,-28.63333333,white shark,3.7,1,unprovoked,snorkelling,50,male
2014,10,injured,151.4333333,-33.45,wobbegong,1,1,provoked,boarding,13,female
2014,10,injured,121.9166667,-33.83333333,white shark,3.5,1,unprovoked,boarding,23,male
2014,11,injured,115.6166667,-32.6,bronze whaler shark,2.3,1,unprovoked,boarding,13,male
2014,12,fatal,118.404958,-34.88003124,white shark,5,1,provoked,spearfishing,17,male
2014,12,fatal,145.75,-16.2,tiger shark,3.3,1,provoked,spearfishing,18,male
2015,1,uninjured,153.45,-27.63333333,bull shark,1.3,1,unprovoked,unmotorised boating,57,male
2015,1,injured,150.4666667,-35.33333333,bronze whaler shark,2.5,1,provoked,spearfishing,17,male
2015,2,fatal,153.5833333,-28.85,white shark,3.5,1,unprovoked,boarding,41,male
2015,3,injured,159.05,-31.51666667,galapagos shark,1.3,1,provoked,swimming,43,female
2015,4,injured,159.05,-31.51666667,galapagos shark,1.5,1,provoked,swimming,8,male
2015,4,injured,135.7666667,-34.86666667,white shark,6,1,unprovoked,boarding,26,male
2015,6,injured,115.5333333,-31.98333333,wobbegong,1,1,provoked,swimming,19,male
2015,6,uninjured,153.6,-28.63333333,white shark,3,1,unprovoked,boarding,71,male
2015,6,injured,150.2833333,-35.65,tiger shark,3,1,provoked,spearfishing,21,male
2015,7,fatal,147.9833333,-42.63333333,white shark,4.3,1,provoked,diving,47,male
2015,7,injured,153.4333333,-29.1,white shark,3,1,unprovoked,boarding,51,male
2015,7,injured,141.7833333,-38.25,white shark,1.8,1,unprovoked,boarding,40,male
2015,7,injured,153.5833333,-28.86666667,white shark,3.5,1,unprovoked,boarding,32,male
2015,8,injured,152.9166667,-31.46666667,white shark,2.7,1,unprovoked,boarding,38,male
2015,9,injured,152.5333333,-32.06666667,white shark,2.5,1,unprovoked,boarding,65,male
2016,1,injured,150.9,-23.15,tiger shark,3,1,provoked,spearfishing,31,male
2016,4,injured,153.6,-28.63333333,wobbegong,0.8,1,provoked,swimming,12,male
2016,6,fatal,115.6666667,-31.66666667,white shark,5,1,unprovoked,diving,60,female
2016,6,injured,113.1294,-23.02411667,grey reef shark,1.8,1,provoked,spearfishing,19,male
2016,7,uninjured,153.6044,-28.8377,white shark,3,1,unprovoked,boarding,18,male
2016,10,injured,153.6,-28.83333333,white shark,3.5,1,unprovoked,boarding,20,male
2016,10,injured,151.0587667,-33.08945,white shark,2.9,1,unprovoked,boarding,36,male
2016,10,injured,148.95,-20.23333333,lemon shark,1,1,provoked,swimming,10,male
2016,12,injured,152.52275,-32.30595,white shark,4,1,unprovoked,boarding,65,male
2017,11,injured,151.435,-33.465,white shark,2.6,1,unprovoked,boarding,25,male
2018,1,injured,150.893143,-34.425072,white shark,3.5,1,unprovoked,snorkelling,28,female
2018,2,injured,150.84,-34.67,whaler shark,2,1,unprovoked,other: standing in water,35,male
2018,2,injured,115.7326,-31.7789,wobbegong,0.4,1,unprovoked,swimming,17,female
2018,2,injured,151.1753,-33.993,white shark,3,1,unprovoked,swimming,55,female
2018,3,injured,144.28,-38.37,bronze whaler shark,2,1,unprovoked,boarding,18,male
2018,4,injured,115.0221,-33.8416,white shark,3,1,unprovoked,boarding,41,male
2018,4,injured,115.0221,-33.8416,white shark,4,1,unprovoked,boarding,37,male
2018,4,uninjured,114.9922,-33.9825,white shark,3,1,unprovoked,boarding,60,male
2018,11,injured,153.5944,-28.8632,white shark,2.6,1,unprovoked,boarding,43,male
2018,12,injured,151.342224,-33.425018,wobbeogong,1,1,provoked,swimming,68,male
2019,7,injured,153.0611,-26.7994,bull shark,1,1,unprovoked,boarding,43,male
2019,10,uninjured,152.5279,-32.443600000000004,white shark,2.5,1,unprovoked,boarding,29,male
2020,6,uninjured,150.91347,-34.33834,bronze whaler shark,2.5,1,provoked,spearfishing,16,female
2020,6,uninjured,150.91347,-34.33834,bronze whaler shark,2.5,1,provoked,spearfishing,13,male
2020,6,uninjured,150.91347,-34.33834,bronze whaler shark,2.5,1,provoked,spearfishing,13,male
2020,9,uninjured,153.569698,-28.33362,white shark,3.5,1,provoked,boarding,43,male
2020,10,injured,151.267,-33.95,white shark,4,1,unprovoked,scuba diving,45,male
2020,10,uninjured,144.66193,-38.26789,whaler shark,1,1,unprovoked,boarding,28,male
2021,4,injured,116.7081,-20.6564,blacktip reef shark,0.8,1,unprovoked,swimming,33,male
2021,5,injured,122.1571,-17.5804,tiger shark ,3,1,provoked,spearfishing,48,male
2021,6,injured,113.7723,-23.1423,tiger shark ,2,1,unprovoked,snorkelling,10,male
2021,6,injured,114.9824,-29.9453,white shark,4,1,provoked,spearfishing,25,male
2022,2,fatal,153.083,-30.883,white shark,4.5,1,unprovoked,swimming,35,male
