year,month,outcome,lon,lat,shark_type,shark_length,num_sharks,provoked,victim_activity,age,gender
1975,2,injured,146.2333333,-38.93333333,white shark,3.2,1,unprovoked,boarding,22,male
1975,2,fatal,132.9666667,-32.08333333,white shark,3,1,provoked,snorkelling,12,male
1975,2,injured,144.1833333,-38.4,wobbegong,2.4,1,provoked,snorkelling,45,male
1975,7,injured,153.0833333,-26.65,white shark,3,1,unprovoked,boarding,21,male
1975,11,injured,151.2833333,-33.78333333,wobbegong,2,1,provoked,spearfishing,20,male
1976,9,injured,137.7833333,-32.98333333,white shark,2.7,1,provoked,spearfishing,17,male
1977,2,injured,153.5666667,-28.23333333,tiger shark,4,1,unprovoked,boarding,24,male
1977,3,fatal,153.25,-27.25,tiger shark,4,1,unprovoked,swimming,43,male
1977,3,fatal,153.25,-27.25,tiger shark,4,1,unprovoked,swimming,74,male
1978,8,uninjured,115.7166667,-31.76666667,white shark,2,1,unprovoked,boarding,15,male
1979,9,injured,153.6166667,-28.63333333,whaler shark,2,1,unprovoked,swimming,18,male
1980,3,injured,145.05,-38.41666667,bronze whaler shark,3,1,provoked,spearfishing,42,male
1981,1,uninjured,153.6166667,-28.63333333,tiger shark,2.5,1,unprovoked,boarding,27,male
1981,2,injured,115.5166667,-32,wobbegong,1.5,1,unprovoked,swimming,37,male
1982,2,fatal,146.8833333,-43.56666667,white shark,6,1,provoked,spearfishing,32,male
1983,7,uninjured,147.7333333,-18.9,tiger shark,4,1,unprovoked,swimming,33,male
1983,7,fatal,147.1,-18.68333333,tiger shark,4,1,unprovoked,swimming,21,female
1983,7,fatal,147.1,-18.68333333,tiger shark,4,1,unprovoked,swimming,24,male
1984,10,uninjured,153.6166667,-28.68333333,white shark,2.5,1,unprovoked,boarding,25,male
1984,11,fatal,149.1833333,-21.05,tiger shark,4,1,unprovoked,swimming,15,male
1985,2,uninjured,144.3,-38.33333333,white shark,2,1,unprovoked,boarding,36,male
1985,3,injured,115.75,-31.85,wobbegong,0.7,1,provoked,diving,20,female
1985,3,fatal,136.0166667,-34.46666667,white shark,6,1,unprovoked,snorkelling,33,female
1986,3,injured,130.8333333,-12.36666667,wobbegong,1,1,provoked,swimming,13,male
1986,5,injured,151.3,-33.81666667,wobbegong,1.8,1,unprovoked,diving,41,male
1986,10,uninjured,96.81666667,-12.15,tiger shark,3,1,unprovoked,boarding,39,male
1987,1,injured,145.45,-14.66666667,tiger shark,2,1,unprovoked,swimming,38,male
1987,2,injured,152.5166667,-32.16666667,wobbegong,1,1,provoked,diving,17,female
1987,9,fatal,138.5833333,-34.91666667,white shark,4.5,1,unprovoked,diving,47,male
1988,10,injured,145.2666667,-38.5,white shark,1.2,1,unprovoked,boarding,35,male
1988,11,fatal,150.7333333,-23.11666667,tiger shark,4.5,3,unprovoked,swimming,17,male
1988,11,fatal,150.7333333,-23.11666667,tiger shark,4.5,2,unprovoked,swimming,62,male
1989,1,injured,151.2,-33.86666667,wobbegong,2,1,provoked,diving,19,male
1989,1,uninjured,145.2666667,-38.5,white shark,4,1,unprovoked,boarding,30,male
1989,1,injured,153.55,-28.88333333,white shark,3,1,unprovoked,boarding,17,male
1989,3,injured,142.1333333,-10.11666667,whaler shark,2,1,provoked,spearfishing,32,male
1989,8,uninjured,153.5833333,-28.78333333,white shark,3,1,unprovoked,boarding,17,male
1989,10,uninjured,148.2666667,-41.43333333,white shark,2.1,1,unprovoked,boarding,17,male
1989,10,injured,132.1833333,-14.16666667,bull shark,2,1,unprovoked,swimming,31,female
1989,11,injured,145.4666667,-38.53333333,white shark,4.5,1,unprovoked,boarding,32,male
