year,title,mpa,runtime,gross,rating_count,rating,metacritic,poster_brightness,poster_saturation,poster_edgeness,description
1970,The Strawberry Statement,R,109,0.8,1369,6.8,NA,26.912379701753864,51.43814166434218,3.696521724977009,An apolitical college student joins a group of campus protesters to meet girls but gets swept up in their cause and involved in a violent confrontation with police.
1970,Threesome,NA,90,0.78,8,6.2,NA,70.99369241822593,9.802064400267662,6.867270922410057,A fashion designer returns to Denmark with his American wife. She is leery of the excesses of female nudity and the relaxed moral standards of the country. A visit to a psychiatrist reveals feelings of latent lesbianism.
1970,El Condor,R,102,0.7,923,6,NA,74.12641996078881,20.782564160521208,3.8301533125750145,"The El Condor, the fabled Mexican stronghold rumoured to contain Emperor Maximilian's mythical reserves in gold, will attract two adventurous fortune seekers, who with eyes gleaming with desire, will shortly know that only fools rush in."
1970,I Never Sang for My Father,GP,92,0.68,2251,7.6,NA,56.80898611304571,63.02691750957818,4.507533212164001,"A man who wants to move on with his life by moving to California and marry his girlfriend, finds it difficult as he still lives in the towering shadow of his aging father."
1970,There Was a Crooked Man...,R,126,0.64,3782,7,NA,76.38814065230049,27.400912145535706,4.982962607792839,A charming but totally ruthless criminal is sent to a remote Arizona prison. He enlists the help of his cellmates in an escape attempt with the promise of sharing his hidden loot.
1970,Soldier Blue,R,112,0.51,4635,6.9,NA,80.71796641796429,13.363556268160771,3.087281245363132,"After a cavalry patrol is ambushed by the Cheyenne, the two survivors, a soldier and a woman, must reach the safety of the nearest fort."
1971,Billy Jack,GP,114,98,5320,6.3,50,79.15516788451973,15.404520616893933,3.8803758419687826,"Ex-Green Beret hapkido expert saves wild horses from being slaughtered for dog food and helps protect a desert ""freedom school"" for runaway."
1971,Fiddler on the Roof,G,181,80.5,36752,8,NA,72.17709141941609,31.64730310316876,5.053636614478726,"In prerevolutionary Russia, a Jewish peasant contends with marrying off three of his daughters while growing anti-Semitic sentiment threatens his village."
1971,Dirty Harry,R,102,35.9,136267,7.7,NA,59.339375818804285,18.227906361352392,2.24074330209129,"When a madman calling himself ""the Scorpio Killer"" menaces the city, tough as nails San Francisco Police Inspector ""Dirty"" Harry Callahan is assigned to track down and ferret out the crazed psychopath."
1971,The Last Picture Show,R,118,29.13,39361,8,NA,84.73449240116224,0.3740127300699231,3.626141771386173,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied West Texas town that is slowly dying, both culturally and economically."
1971,Carnal Knowledge,R,98,28.62,10678,7,NA,42.37576130027592,23.718887314539938,7.336309301677215,Chronicling the lifelong sexual development of two men who meet and befriend one another in college.
1971,The Hospital,PG-13,103,19.71,5184,7.2,NA,62.700567908794405,13.672798358179753,7.992224614097104,An over-burdened doctor struggles to find meaning in his life while a murderer stalks the halls of his hospital.
1971,Willard,GP,95,19.22,3504,6.2,49,29.732234462690034,7.159643647331807,9.425990682315282,"A social misfit uses his only friends, his pet rats, to exact revenge on his tormentors."
1971,Bedknobs and Broomsticks,G,117,18.53,32285,7.1,59,50.32949083546791,38.979367101366705,3.761357017540328,"An apprentice witch, three kids and a cynical magician conman search for the missing component to a magic spell to be used in the defense of Britain in World War II."
1971,Shaft,R,100,16.69,15613,6.6,NA,48.913669224854324,6.014868937906341,2.7153834572533753,Cool black private eye John Shaft is hired by a crime lord to find and retrieve his kidnapped daughter.
1971,Sweet Sweetback's Baadasssss Song,R,97,15.18,4290,5.5,NA,60.39969464225715,6.316912734845488,2.194480451061292,"After saving a Black Panther from some racist cops, a black male prostitute goes on the run from ""the man"" with the help of the ghetto community and some disillusioned Hells Angels."
1971,Klute,R,114,12.51,20454,7.1,NA,67.59792332583308,10.206838317423555,2.9862405764315056,A small-town detective searching for a missing man has only one lead: a connection with a New York prostitute.
1971,Escape from the Planet of the Apes,G,98,12.3,30451,6.3,NA,62.939177934781696,33.79474800070187,4.848661537801817,"The world is shocked by the appearance of three talking chimpanzees, who arrived mysteriously in a U.S. spacecraft. They become the toast of society, but one man believes them to be a threat to the human race."
1971,Cold Turkey,PG-13,99,11.99,1801,6.7,NA,73.90919833694963,13.48508827618142,7.290453367877895,"Hoping for positive publicity, a tobacco company offers $25 million to any American town that quits smoking for 30 days. Amidst a media frenzy, Eagle Rock, Iowa accepts the challenge while the company's PR man tries to sabotage the effort."
1971,Play Misty for Me,R,102,11.8,24106,7,NA,31.171710810842846,36.35268921145096,3.383443977388103,The life of a disc jockey is turned upside down after a romantic encounter with an obsessed fan.
1971,Bananas,PG-13,82,11.8,32564,7,NA,72.12574831170659,18.992660379170257,8.195891851534064,"When a bumbling New Yorker is dumped by his activist girlfriend, he travels to a tiny Latin American nation and becomes involved in its latest rebellion."
1971,The Million Dollar Duck,G,89,11.12,1822,5.9,45,79.40473762775656,22.459608679739947,3.4064807536795354,"Professor Dooley takes home a duck from his research laboratory as a pet for his son, but soon finds out that it lays golden eggs."
1971,The Anderson Tapes,GP,99,10.9,6423,6.4,NA,87.45133268062058,6.65225375328026,3.3652871882780677,"After Duke Anderson is released from prison after ten years for taking the rap for a scion of a Mafia family, he cashes in a debt of honor with the mob to bankroll a caper."
1971,The Big Doll House,R,95,10,2069,6,NA,63.23042083837747,35.89701401908994,3.074487497482377,"Beautiful women prisoners are abused in a Philippine prison, until 5 of them plot an escape by taking the evil female warden hostage with the reluctant help of 2 male fruit vendors."
1971,The Omega Man,PG,98,8.72,27501,6.5,56,69.70596323529412,16.122022508814453,3.716533569189378,"Lone survivor, doctor Robert Neville, struggles to create a cure for the plague that wiped out most of the human race while fighting The Family, a savage luddite death cult formed by the zombie-like infected to erase the past."
1971,McCabe & Mrs. Miller,R,120,8.2,20630,7.7,NA,73.70554661968953,10.867984425380115,4.026401681601949,"A gambler and a prostitute become business partners in a remote Old West mining town, and their enterprise thrives until a large corporation arrives on the scene."
1971,Big Jake,GP,110,7.5,10526,7.2,57,75.51027359601032,17.055028891432336,3.7265988685599467,"In 1909, when John Fain's gang kidnaps Jacob McCandles' grandson and holds him for ransom, Big Jake sets out to rescue the boy."
1971,Lawman,R,99,5.94,3903,7,52,40.03436036838973,83.37934580622057,6.192736813727614,A lawman from Bannock arrives in Sabbath to arrest all the cattlemen whose wild celebration the year before resulted in the accidental death of an old man.
1971,Willy Wonka & the Chocolate Factory,G,100,4.53,168320,7.8,NA,81.44794906802227,11.030038417734447,4.281114185693227,A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.
1971,THX 1138,R,86,2.44,45999,6.7,NA,51.590489275699994,10.796894427661847,2.9775383970629568,"In the twenty-fifth century, a time when people have designations instead of names, a man, THX 1138, and a woman, LUH 3417, rebel against their rigidly controlled society."
1971,Honey Britches,R,85,0.38,484,2.7,NA,33.68964543624153,52.23297854075737,6.639021371634388,This is the story of four jewel thieves on the run who decide to hole up with a hillbilly couple until the search for them slackens off.
1971,Octaman,PG,79,0.28,855,3.5,NA,45.855432911315255,36.23344907818641,6.508988709010688,A team of researchers discovers a strange mutation of man and octopus who proceeds to terrorize them.
1971,Doctors' Wives,R,101,0.1,216,4.4,NA,50.571195441903285,27.23785094437537,2.949378116270758,Dysfunctional marriages of several unhappy rich doctors who work at a private clinic and their neglected wives who deal with their own unhappiness in various ways enter crisis mode when one of them murders his cheating wife.
1971,The Last Valley,PG,128,0.09,2665,7.2,NA,74.9568716537447,21.502318542668302,6.034706111937414,"During the Thirty Years' War of 1600s, a band of Protestant mercenaries peacefully coexist with German Catholic villagers in a hidden idyllic mountain valley untouched by war."
1971,The Statue,R,84,0.08,185,4.9,NA,65.05814334773457,32.87006821250555,7.293115364762742,"Bolt, a British linguist, develops a universal language, so he's a sudden sensation and receives a Nobel prize. An ambitious diplomat, capitalizing on Bolt's celebrity, arranges for the U.S...                See full summary »"
1971,Zachariah,GP,93,0.06,555,6,NA,70.85580502965566,15.361438314961031,5.176488418202514,Two gunfighters separate and experience surreal visions on their journey through the west.
1971,Wake in Fright,R,109,0.05,9205,7.7,NA,62.43520964337298,36.97050640687069,5.9265693556784385,"After a bad gambling bet, a schoolteacher is marooned in a town full of crazy, drunk, violent men who threaten to make him just as crazy, drunk, and violent."
1971,Pink Narcissus,Not Rated,65,0.01,1104,6.7,NA,30.106911058741385,45.33021608149011,5.476449269079942,An erotic poem set in the fantasies of a young male prostitute.
1971,Santa's Christmas Elf (Named Calvin),NA,70,7e-6,41,2.3,NA,66.38441558441558,40.39293851818328,8.346119184528137,"Calvin the elf is always getting into mischief. One Christmas Eve, Calvin stows away on Santa's sleigh and winds up in the possession of a little girl named Kim. Her brothers kidnap him, ...                See full summary »"
1971,Grease,NA,NA,NA,7,4.6,NA,23.322440836268893,31.044967455667898,3.4089382858222446,Add a Plot
1971,Sex-Export aus Amsterdam,NA,79,NA,0,NA,NA,NA,NA,NA,Add a Plot
1971,The Young Hitchikers,NA,54,NA,0,NA,NA,NA,NA,NA,Add a Plot
1971,Delusion of the Fury: A Ritual of Dream and Delusion,NA,75,NA,0,NA,NA,NA,NA,NA,Add a Plot
1971,The Homemakers,NA,NA,NA,0,NA,NA,NA,NA,NA,Add a Plot
1971,The Gang That Could!,NA,NA,NA,0,NA,NA,NA,NA,NA,Add a Plot
1971,Love in Hot Pants,NA,NA,NA,0,NA,NA,NA,NA,NA,Add a Plot
1971,Waitresses,NA,NA,NA,0,NA,NA,NA,NA,NA,Add a Plot
1971,Keep the Ball Rolling,NA,NA,NA,0,NA,NA,NA,NA,NA,Add a Plot
1971,Daughters of Anomaly,NA,NA,NA,0,NA,NA,56.304465443765054,72.8175383148911,5.94943503023815,Add a Plot
1971,"Secret Places, Secret Things",X,67,NA,0,NA,NA,NA,NA,NA,Add a Plot
