doc_id,doc_id2
Percy Bysshe Shelley,George Eliot
Percy Bysshe Shelley,T. S. Eliot
Percy Bysshe Shelley,W. H. Auden
Percy Bysshe Shelley,Edmund Spenser
Percy Bysshe Shelley,John Milton
Percy Bysshe Shelley,William Shakespeare
John Clare,John Keats
John Clare,Lord Byron
John Clare,William Shakespeare
John Clare,William Wordsworth
Felicia Hemans,Percy Bysshe Shelley
Felicia Hemans,William Wordsworth
John Keats,Lord Byron
John Keats,Percy Bysshe Shelley
John Keats,Edmund Spenser
John Keats,Samuel Taylor Coleridge
John Keats,John Clare
John Keats,James Boswell
John Keats,Samuel Johnson
John Keats,William Wordsworth
John Keats,Alexander Pope
John Keats,"Alfred, Lord Tennyson"
John Keats,T. S. Eliot
John Stuart Mill,William Wordsworth
Elizabeth Barrett Browning,Alexander Pope
Elizabeth Barrett Browning,Mary Wollstonecraft
Elizabeth Barrett Browning,Virginia Woolf
Elizabeth Barrett Browning,"Alfred, Lord Tennyson"
Elizabeth Barrett Browning,William Wordsworth
Elizabeth Barrett Browning,Samuel Taylor Coleridge
Elizabeth Barrett Browning,John Milton
"Alfred, Lord Tennyson",Samuel Taylor Coleridge
"Alfred, Lord Tennyson",John Clare
"Alfred, Lord Tennyson",William Wordsworth
"Alfred, Lord Tennyson",Elizabeth Barrett Browning
"Alfred, Lord Tennyson",Virginia Woolf
"Alfred, Lord Tennyson",John Keats
"Alfred, Lord Tennyson",W. H. Auden
Charles Dickens,Geoffrey Chaucer
Charles Dickens,William Shakespeare
Charles Dickens,Elizabeth Barrett Browning
Charles Dickens,Virginia Woolf
Charles Dickens,T. S. Eliot
Charles Dickens,George Bernard Shaw
Charles Dickens,Oscar Wilde
Charles Dickens,William Wordsworth
Charles Dickens,Joseph Conrad
Charles Dickens,George Orwell
Emily Brontë,Lord Byron
Emily Brontë,Percy Bysshe Shelley
George Eliot,Charles Dickens
George Eliot,Virginia Woolf
George Eliot,John Stuart Mill
George Eliot,W. H. Auden
George Eliot,William Wordsworth
Matthew Arnold,William Wordsworth
Matthew Arnold,"Alfred, Lord Tennyson"
Matthew Arnold,Jonathan Swift
Matthew Arnold,John Stuart Mill
Christina Rossetti,Lord Byron
Christina Rossetti,John Keats
Christina Rossetti,Ann Radcliffe
Christina Rossetti,Elizabeth Barrett Browning
Christina Rossetti,Samuel Taylor Coleridge
Christina Rossetti,Virginia Woolf
Bram Stoker,Oscar Wilde
Oscar Wilde,Bram Stoker
Oscar Wilde,George Bernard Shaw
Oscar Wilde,Rudyard Kipling
Oscar Wilde,George Orwell
Oscar Wilde,Geoffrey Chaucer
George Bernard Shaw,James Joyce
George Bernard Shaw,Oscar Wilde
George Bernard Shaw,T. S. Eliot
George Bernard Shaw,Percy Bysshe Shelley
George Bernard Shaw,William Blake
Rudyard Kipling,Jane Austen
Rudyard Kipling,William Shakespeare
Rudyard Kipling,Charles Dickens
Rudyard Kipling,T. S. Eliot
Rudyard Kipling,George Orwell
Rudyard Kipling,W. H. Auden
Rudyard Kipling,W. B. Yeats
Joseph Conrad,Charles Dickens
Joseph Conrad,Edmund Spenser
Joseph Conrad,George Bernard Shaw
Joseph Conrad,Rudyard Kipling
Joseph Conrad,T. S. Eliot
Joseph Conrad,George Orwell
W. B. Yeats,John Keats
W. B. Yeats,William Wordsworth
W. B. Yeats,William Blake
W. B. Yeats,Edmund Spenser
W. B. Yeats,Percy Bysshe Shelley
W. B. Yeats,Oscar Wilde
W. B. Yeats,T. S. Eliot
Virginia Woolf,George Bernard Shaw
Virginia Woolf,Percy Bysshe Shelley
Virginia Woolf,James Joyce
Virginia Woolf,Elizabeth Barrett Browning
Virginia Woolf,George Eliot
Virginia Woolf,Jane Austen
James Joyce,Oscar Wilde
James Joyce,George Bernard Shaw
James Joyce,Samuel Beckett
D. H. Lawrence,T. S. Eliot
D. H. Lawrence,Robert Burns
Beatrix Potter,William Shakespeare
C. S. Lewis,Beatrix Potter
C. S. Lewis,W. B. Yeats
C. S. Lewis,William Blake
Daphne du Maurier,Jane Austen
T. S. Eliot,James Joyce
T. S. Eliot,W. H. Auden
T. S. Eliot,Stephen Spender
T. S. Eliot,W. B. Yeats
T. S. Eliot,Joseph Conrad
T. S. Eliot,William Shakespeare
T. S. Eliot,Percy Bysshe Shelley
T. S. Eliot,John Milton
T. S. Eliot,Virginia Woolf
T. S. Eliot,Seamus Heaney
George Orwell,T. S. Eliot
George Orwell,Cecil Day-Lewis
George Orwell,Stephen Spender
George Orwell,Charles Dickens
George Orwell,Samuel Johnson
George Orwell,William Shakespeare
George Orwell,Jonathan Swift
George Orwell,James Joyce
George Orwell,D. H. Lawrence
George Orwell,Joseph Conrad
George Orwell,Rudyard Kipling
George Orwell,George Bernard Shaw
George Orwell,W. H. Auden
Samuel Beckett,Oscar Wilde
Samuel Beckett,James Joyce
Samuel Beckett,T. S. Eliot
Samuel Beckett,Seamus Heaney
W. H. Auden,Christopher Isherwood
W. H. Auden,W. B. Yeats
W. H. Auden,T. S. Eliot
W. H. Auden,William Shakespeare
W. H. Auden,Cecil Day-Lewis
W. H. Auden,Louis MacNeice
W. H. Auden,Stephen Spender
W. H. Auden,Robert Burns
W. H. Auden,William Langland
W. H. Auden,Alexander Pope
Louis MacNeice,W. H. Auden
Louis MacNeice,Stephen Spender
Louis MacNeice,Cecil Day-Lewis
Louis MacNeice,Percy Bysshe Shelley
Louis MacNeice,Christopher Marlowe
Louis MacNeice,T. S. Eliot
Louis MacNeice,Christopher Isherwood
Louis MacNeice,W. B. Yeats
Louis MacNeice,Seamus Heaney
Cecil Day-Lewis,W. H. Auden
Cecil Day-Lewis,George Orwell
Cecil Day-Lewis,Percy Bysshe Shelley
Cecil Day-Lewis,Rex Warner
Cecil Day-Lewis,Edward Upward
Stephen Spender,W. H. Auden
Stephen Spender,Christopher Isherwood
Stephen Spender,Louis MacNeice
Stephen Spender,Edward Upward
Stephen Spender,Cecil Day-Lewis
Stephen Spender,T. S. Eliot
Stephen Spender,Virginia Woolf
Christopher Isherwood,Edward Upward
Christopher Isherwood,W. H. Auden
Christopher Isherwood,Stephen Spender
Christopher Isherwood,Cecil Day-Lewis
Christopher Isherwood,Louis MacNeice
Edward Upward,Christopher Isherwood
Edward Upward,W. H. Auden
Edward Upward,Stephen Spender
Rex Warner,W. H. Auden
Rex Warner,Cecil Day-Lewis
Rex Warner,Stephen Spender
Seamus Heaney,W. B. Yeats
Seamus Heaney,George Bernard Shaw
Seamus Heaney,Samuel Beckett
Seamus Heaney,Mary Robinson
