doc_id,doc_id_out,count
Philip Sidney,W. H. Auden,2
Philip Sidney,Walter Raleigh,4
Philip Sidney,William Blake,1
Philip Sidney,William Langland,1
Philip Sidney,William Shakespeare,2
Philip Sidney,William Wordsworth,2
Christopher Marlowe,D. H. Lawrence,1
Christopher Marlowe,Daphne du Maurier,1
Christopher Marlowe,Edmund Spenser,10
Christopher Marlowe,Edward Upward,1
Christopher Marlowe,Elizabeth Barrett Browning,1
Christopher Marlowe,Emilia Lanier,5
Christopher Marlowe,Emily Brontë,2
Christopher Marlowe,Geoffrey Chaucer,5
Christopher Marlowe,George Bernard Shaw,5
Christopher Marlowe,George Eliot,2
Christopher Marlowe,George Herbert,4
Christopher Marlowe,George Orwell,3
Christopher Marlowe,Henry Vaughan,2
Christopher Marlowe,James Boswell,2
Christopher Marlowe,Jane Austen,4
Christopher Marlowe,John Clare,5
Christopher Marlowe,John Donne,7
Christopher Marlowe,John Dryden,6
Christopher Marlowe,John Gower,2
Christopher Marlowe,John Keats,2
Christopher Marlowe,John Locke,2
Christopher Marlowe,John Milton,8
Christopher Marlowe,John Stuart Mill,2
Christopher Marlowe,Jonathan Swift,1
Christopher Marlowe,Joseph Conrad,3
Christopher Marlowe,Lord Byron,1
Christopher Marlowe,Margaret Cavendish,3
Christopher Marlowe,Margery Kempe,4
Christopher Marlowe,Mary Robinson,3
Christopher Marlowe,Mary Wollstonecraft,2
Christopher Marlowe,Oscar Wilde,5
Christopher Marlowe,Percy Bysshe Shelley,2
Christopher Marlowe,Philip Sidney,6
Christopher Marlowe,Rudyard Kipling,5
Christopher Marlowe,Samuel Beckett,1
Christopher Marlowe,Samuel Johnson,6
Christopher Marlowe,Samuel Pepys,4
Christopher Marlowe,Samuel Taylor Coleridge,6
Christopher Marlowe,T. S. Eliot,6
Christopher Marlowe,Thomas Hobbes,3
Christopher Marlowe,Thomas Malory,3
Christopher Marlowe,Thomas More,8
Christopher Marlowe,Virginia Woolf,2
Christopher Marlowe,W. B. Yeats,1
Christopher Marlowe,W. H. Auden,6
Christopher Marlowe,Walter Raleigh,6
Christopher Marlowe,William Blake,6
Christopher Marlowe,William Langland,3
Christopher Marlowe,William Shakespeare,27
Christopher Marlowe,William Wordsworth,2
William Shakespeare,William Wordsworth,8
John Donne,John Dryden,7
John Donne,John Gower,1
John Donne,John Keats,3
John Donne,John Locke,3
John Donne,John Milton,11
John Donne,John Stuart Mill,3
John Donne,Jonathan Swift,2
John Donne,Joseph Conrad,4
John Donne,Katherine Philipps,3
John Donne,Lord Byron,1
John Donne,Louis MacNeice,2
John Donne,Margaret Cavendish,1
John Donne,Margery Kempe,3
John Donne,Marie de France,1
John Donne,Mary Wollstonecraft,3
John Donne,Matthew Arnold,1
John Donne,Oscar Wilde,2
John Donne,Percy Bysshe Shelley,5
John Donne,Philip Sidney,3
John Donne,Robert Burns,1
John Donne,Rudyard Kipling,3
John Donne,Samuel Beckett,2
John Donne,Samuel Johnson,8
John Donne,Samuel Pepys,7
John Donne,Samuel Taylor Coleridge,5
John Donne,Seamus Heaney,1
John Donne,Stephen Spender,2
John Donne,T. S. Eliot,2
John Donne,Thomas Hobbes,10
John Donne,Thomas Malory,2
John Donne,Thomas More,9
John Donne,Virginia Woolf,3
John Donne,W. B. Yeats,1
John Donne,W. H. Auden,7
John Donne,Walter Raleigh,10
John Donne,William Blake,7
John Donne,William Langland,3
John Donne,William Shakespeare,9
John Donne,William Wordsworth,1
Emilia Lanier,Geoffrey Chaucer,3
Emilia Lanier,George Bernard Shaw,1
Emilia Lanier,George Eliot,1
Emilia Lanier,George Herbert,2
Emilia Lanier,George Orwell,1
Emilia Lanier,Henry Vaughan,2
Emilia Lanier,James Boswell,1
Emilia Lanier,Jane Austen,1
Emilia Lanier,John Clare,2
Emilia Lanier,John Donne,2
Emilia Lanier,John Dryden,3
Emilia Lanier,John Gower,2
Emilia Lanier,John Keats,2
Emilia Lanier,John Milton,5
Emilia Lanier,John Stuart Mill,1
Emilia Lanier,Jonathan Swift,2
Emilia Lanier,Joseph Conrad,2
Emilia Lanier,Lord Byron,1
Emilia Lanier,Margaret Cavendish,1
Emilia Lanier,Margery Kempe,1
Emilia Lanier,Marie de France,2
Emilia Lanier,Mary Robinson,1
Emilia Lanier,Percy Bysshe Shelley,2
Emilia Lanier,Philip Sidney,5
Emilia Lanier,Rudyard Kipling,1
Emilia Lanier,Samuel Johnson,3
Emilia Lanier,Samuel Pepys,1
Emilia Lanier,Samuel Taylor Coleridge,1
Emilia Lanier,T. S. Eliot,2
Emilia Lanier,Thomas Hobbes,1
Emilia Lanier,Thomas Malory,1
Emilia Lanier,Thomas More,3
Emilia Lanier,Virginia Woolf,2
Emilia Lanier,W. B. Yeats,1
Emilia Lanier,W. H. Auden,1
Emilia Lanier,Walter Raleigh,3
Emilia Lanier,William Blake,2
Emilia Lanier,William Shakespeare,10
Emilia Lanier,William Wordsworth,2
Ben Jonson,C. S. Lewis,6
Ben Jonson,Cecil Day-Lewis,2
Ben Jonson,Charles Dickens,6
Ben Jonson,Charlotte Brontë,1
Ben Jonson,Charlotte Smith,1
Ben Jonson,Christina Rossetti,2
Ben Jonson,Christopher Isherwood,2
Ben Jonson,Christopher Marlowe,20
Ben Jonson,D. H. Lawrence,1
Ben Jonson,Daphne du Maurier,1
Ben Jonson,Edmund Spenser,9
Ben Jonson,Elizabeth Barrett Browning,4
Ben Jonson,Emilia Lanier,4
Ben Jonson,Geoffrey Chaucer,7
Ben Jonson,George Bernard Shaw,6
Ben Jonson,George Eliot,3
Ben Jonson,George Herbert,8
Ben Jonson,George Orwell,2
Ben Jonson,Henry Vaughan,3
