year,title,color_type,color,percentage
1970,The Boatniks,hue,violet,0.0013591573224600746
1970,The Boatniks,greyscale,black,5.851919809717975
1970,The Boatniks,greyscale,grey,8.215766224940536
1970,The Boatniks,greyscale,white,55.67618076792389
1970,The Boatniks,hue,other,0
1970,On a Clear Day You Can See Forever,hue,red,2.6371201952410006
1970,On a Clear Day You Can See Forever,hue,orange,0.9252226967663209
1970,On a Clear Day You Can See Forever,hue,yellow,0.8849298352654057
1970,On a Clear Day You Can See Forever,hue,green,0.1673947528981086
1970,On a Clear Day You Can See Forever,hue,blue,29.579841366687003
1970,On a Clear Day You Can See Forever,hue,violet,0.006442953020134228
1970,On a Clear Day You Can See Forever,greyscale,black,7.517876754118364
1970,On a Clear Day You Can See Forever,greyscale,grey,6.4121049420378275
1970,On a Clear Day You Can See Forever,greyscale,white,51.86906650396583
1970,On a Clear Day You Can See Forever,hue,other,0
1970,Two Mules for Sister Sara,hue,red,8.23314525462963
1970,Two Mules for Sister Sara,hue,orange,2.9535590277777777
1970,Two Mules for Sister Sara,hue,yellow,1.6895978009259258
1970,Two Mules for Sister Sara,hue,green,0.010344328703703703
1970,Two Mules for Sister Sara,hue,blue,12.013599537037036
1970,Two Mules for Sister Sara,hue,violet,5.787037037037037e-4
1970,Two Mules for Sister Sara,greyscale,black,5.683449074074074
1970,Two Mules for Sister Sara,greyscale,grey,7.305989583333333
1970,Two Mules for Sister Sara,greyscale,white,62.10973668981481
1970,Two Mules for Sister Sara,hue,other,0
1970,Rio Lobo,hue,red,4.584178498985801
1970,Rio Lobo,hue,orange,26.91917615852707
1970,Rio Lobo,hue,yellow,2.1879388360118583
1970,Rio Lobo,hue,green,1.9503822749258857e-4
1970,Rio Lobo,hue,blue,1.4171477609611485
1970,Rio Lobo,hue,violet,0
1970,Rio Lobo,greyscale,black,12.822983304727725
1970,Rio Lobo,greyscale,grey,7.245280074894679
1970,Rio Lobo,greyscale,white,44.82310032766422
1970,Rio Lobo,hue,other,0
1970,Beyond the Valley of the Dolls,hue,red,4.805482233502538
1970,Beyond the Valley of the Dolls,hue,orange,0.010558375634517767
1970,Beyond the Valley of the Dolls,hue,yellow,0.04155668358714044
1970,Beyond the Valley of the Dolls,hue,green,0.00155668358714044
1970,Beyond the Valley of the Dolls,hue,blue,2.4003384094754656
1970,Beyond the Valley of the Dolls,hue,violet,0.2161082910321489
1970,Beyond the Valley of the Dolls,greyscale,black,19.248460236886633
1970,Beyond the Valley of the Dolls,greyscale,grey,4.059424703891709
1970,Beyond the Valley of the Dolls,greyscale,white,69.2165143824027
1970,Beyond the Valley of the Dolls,hue,other,0
1970,Myra Breckinridge,hue,red,1.439366363329963
1970,Myra Breckinridge,hue,orange,3.2072800808897877
1970,Myra Breckinridge,hue,yellow,0.8587125042130097
1970,Myra Breckinridge,hue,green,0.0020896528479946077
1970,Myra Breckinridge,hue,blue,0.8167172227839569
1970,Myra Breckinridge,hue,violet,3.370407819346141e-4
1970,Myra Breckinridge,greyscale,black,27.916144253454668
1970,Myra Breckinridge,greyscale,grey,3.756117290192113
1970,Myra Breckinridge,greyscale,white,62.00323559150657
1970,Myra Breckinridge,hue,other,0
1970,The Boys in the Band,hue,red,0.005670997726325563
1970,The Boys in the Band,hue,orange,0
1970,The Boys in the Band,hue,yellow,0
1970,The Boys in the Band,hue,green,0
1970,The Boys in the Band,hue,blue,0.021167328722680297
1970,The Boys in the Band,hue,violet,5.159882570781964
1970,The Boys in the Band,greyscale,black,17.617547913336605
1970,The Boys in the Band,greyscale,grey,26.938722891312032
1970,The Boys in the Band,greyscale,white,50.2570082981204
1970,The Boys in the Band,hue,other,0
1970,Chisum,hue,red,4.165803940451828
1970,Chisum,hue,orange,37.186219564936316
1970,Chisum,hue,yellow,0.112640388070748
1970,Chisum,hue,green,9.09540815644102e-4
1970,Chisum,hue,blue,0.0017655792303679627
1970,Chisum,hue,violet,2.4967787096112604e-4
1970,Chisum,greyscale,black,35.69205801443673
1970,Chisum,greyscale,grey,2.6883173049057243
1970,Chisum,greyscale,white,20.152035989281686
1970,Chisum,hue,other,0
1970,They Call Me Mister Tibbs!,hue,red,2.2187877026586698
1970,They Call Me Mister Tibbs!,hue,orange,1.4677434032272742e-4
1970,They Call Me Mister Tibbs!,hue,yellow,0
1970,They Call Me Mister Tibbs!,hue,green,0
1970,They Call Me Mister Tibbs!,hue,blue,0
1970,They Call Me Mister Tibbs!,hue,violet,0
1970,They Call Me Mister Tibbs!,greyscale,black,20.969796776248387
1970,They Call Me Mister Tibbs!,greyscale,grey,15.544283286218768
1970,They Call Me Mister Tibbs!,greyscale,white,61.26698546053384
1970,They Call Me Mister Tibbs!,hue,other,0
1970,Cotton Comes to Harlem,hue,red,3.4294010646996975
1970,Cotton Comes to Harlem,hue,orange,6.116937789461388
1970,Cotton Comes to Harlem,hue,yellow,10.399170163112837
1970,Cotton Comes to Harlem,hue,green,0.5418532731039922
1970,Cotton Comes to Harlem,hue,blue,2.230933206386793
1970,Cotton Comes to Harlem,hue,violet,0.838339026311837
1970,Cotton Comes to Harlem,greyscale,black,11.738397610266508
1970,Cotton Comes to Harlem,greyscale,grey,3.792621583663948
1970,Cotton Comes to Harlem,greyscale,white,60.912346282993
1970,Cotton Comes to Harlem,hue,other,0
1970,The Out of Towners,hue,red,1.7632893141313375
1970,The Out of Towners,hue,orange,2.731374446145919
1970,The Out of Towners,hue,yellow,2.315801031417161
1970,The Out of Towners,hue,green,0.0587370147828658
1970,The Out of Towners,hue,blue,10.588409619171431
1970,The Out of Towners,hue,violet,7.572307795036902e-4
1970,The Out of Towners,greyscale,black,13.56515265256221
1970,The Out of Towners,greyscale,grey,6.200687496708627
1970,The Out of Towners,greyscale,white,62.77579119430094
1970,The Out of Towners,hue,other,0
1970,Five Easy Pieces,hue,red,1.1483180428134556
1970,Five Easy Pieces,hue,orange,31.915596330275232
1970,Five Easy Pieces,hue,yellow,47.05840978593272
1970,Five Easy Pieces,hue,green,9.174311926605504e-4
1970,Five Easy Pieces,hue,blue,0
1970,Five Easy Pieces,hue,violet,0
1970,Five Easy Pieces,greyscale,black,2.7253822629969418
1970,Five Easy Pieces,greyscale,grey,0.9660550458715598
1970,Five Easy Pieces,greyscale,white,16.18532110091743
1970,Five Easy Pieces,hue,other,0
1970,Getting Straight,hue,red,8.724328273398815
1970,Getting Straight,hue,orange,0.4200827989284845
1970,Getting Straight,hue,yellow,0
1970,Getting Straight,hue,green,0
1970,Getting Straight,hue,blue,0
1970,Getting Straight,hue,violet,0
1970,Getting Straight,greyscale,black,16.433456449387126
