food_code,food_code_description,category_number,category_description
91403000,Fruit butter,8806,"Jams, syrups, toppings"
91404000,Marmalade,8806,"Jams, syrups, toppings"
91405000,"Jam or jelly, sugar free",8806,"Jams, syrups, toppings"
91405500,"Jam or jelly, reduced sugar",8806,"Jams, syrups, toppings"
91406000,"Jam, preserve, marmalade, sugar free, all flavors",8806,"Jams, syrups, toppings"
91406500,"Jam or jelly, fruit juice sweetened",8806,"Jams, syrups, toppings"
91406600,"Jam, preserve, marmalade, reduced sugar, all flavors",8806,"Jams, syrups, toppings"
91407100,Guava paste,8806,"Jams, syrups, toppings"
91407120,Sweet potato paste,8806,"Jams, syrups, toppings"
91407150,"Bean paste, sweetened",8806,"Jams, syrups, toppings"
91501010,Gelatin dessert,5806,"Gelatins, ices, sorbets"
