food_code,food_code_description,category_number,category_description
92302500,"Tea, hot, leaf, black, decaffeinated",7304,Tea
92303010,"Tea, hot, leaf, green",7304,Tea
92303100,"Tea, hot, leaf, green, decaffeinated",7304,Tea
92304100,"Tea, hot, leaf, oolong",7304,Tea
92305010,"Tea, iced, instant, black, unsweetened",7304,Tea
92305040,"Tea, iced, instant, black, pre-sweetened with sugar",7304,Tea
92305050,"Tea, iced, instant, black, decaffeinated, pre-sweetened with sugar",7304,Tea
92305090,"Tea, iced, instant, black, pre-sweetened with low calorie sweetener",7304,Tea
92305110,"Tea, iced, instant, black, decaffeinated, pre-sweetened with low calorie sweetener",7304,Tea
92305180,"Tea, iced, instant, black, decaffeinated, unsweetened",7304,Tea
92305900,"Tea, iced, instant, green, unsweetened",7304,Tea
92305910,"Tea, iced, instant, green, pre-sweetened with sugar",7304,Tea
92305920,"Tea, iced, instant, green, pre-sweetened with low calorie sweetener",7304,Tea
92306000,"Tea, hot, herbal",7304,Tea
92306090,"Tea, hot, hibiscus",7304,Tea
92306100,Corn beverage,7220,Smoothies and grain drinks
92306700,"Tea, hot, chamomile",7304,Tea
92306800,"Tea, hot, with milk",7304,Tea
92306850,"Tea, ginger",7304,Tea
92306910,"Tea, bubble",7304,Tea
92306920,"Tea, kombucha",7304,Tea
92307000,"Tea, iced, instant, black, unsweetened, dry",9999,Not included in a food category
92307400,"Tea, iced, instant, black, pre-sweetened, dry",9999,Not included in a food category
92307500,Iced Tea / Lemonade juice drink,7304,Tea
92307510,"Iced Tea / Lemonade juice drink, light",7304,Tea
92307520,"Iced Tea / Lemonade juice drink, diet",7304,Tea
92308000,"Tea, iced, brewed, black, pre-sweetened with sugar",7304,Tea
92308010,"Tea, iced, brewed, black, pre-sweetened with low calorie sweetener",7304,Tea
92308020,"Tea, iced, brewed, black, unsweetened",7304,Tea
92308030,"Tea, iced, brewed, black, decaffeinated, pre-sweetened with sugar",7304,Tea
92308040,"Tea, iced, brewed, black, decaffeinated, pre-sweetened with low calorie sweetener",7304,Tea
92308050,"Tea, iced, brewed, black, decaffeinated, unsweetened",7304,Tea
92308500,"Tea, iced, brewed, green, pre-sweetened with sugar",7304,Tea
92308510,"Tea, iced, brewed, green, pre-sweetened with low calorie sweetener",7304,Tea
92308520,"Tea, iced, brewed, green, unsweetened",7304,Tea
92308530,"Tea, iced, brewed, green, decaffeinated, pre-sweetened with sugar",7304,Tea
92308540,"Tea, iced, brewed, green, decaffeinated, pre-sweetened with low calorie sweetener",7304,Tea
92308550,"Tea, iced, brewed, green, decaffeinated, unsweetened",7304,Tea
92309000,"Tea, iced, bottled, black",7304,Tea
92309010,"Tea, iced, bottled, black, decaffeinated",7304,Tea
92309020,"Tea, iced, bottled, black, diet",7304,Tea
92309030,"Tea, iced, bottled, black, decaffeinated, diet",7304,Tea
92309040,"Tea, iced, bottled, black, unsweetened",7304,Tea
92309050,"Tea, iced, bottled, black, decaffeinated, unsweetened",7304,Tea
92309500,"Tea, iced, bottled, green",7304,Tea
92309510,"Tea, iced, bottled, green, diet",7304,Tea
92309520,"Tea, iced, bottled, green, unsweetened",7304,Tea
92400000,"Soft drink, NFS",7202,Soft drinks
92400100,"Soft drink, NFS, diet",7102,Diet soft drinks
92410110,"Water, tonic",7802,Flavored or carbonated water
92410210,"Water, carbonated, plain",7802,Flavored or carbonated water
92410250,"Water, carbonated, flavored",7802,Flavored or carbonated water
92410310,"Soft drink, cola",7202,Soft drinks
92410315,"Soft drink, cola, reduced sugar",7202,Soft drinks
92410320,"Soft drink, cola, diet",7102,Diet soft drinks
92410340,"Soft drink, cola, decaffeinated",7202,Soft drinks
92410350,"Soft drink, cola, decaffeinated, diet",7102,Diet soft drinks
92410360,"Soft drink, pepper type",7202,Soft drinks
92410370,"Soft drink, pepper type, diet",7102,Diet soft drinks
92410390,"Soft drink, pepper type, decaffeinated",7202,Soft drinks
92410400,"Soft drink, pepper type, decaffeinated, diet",7102,Diet soft drinks
92410410,"Soft drink, cream soda",7202,Soft drinks
92410420,"Soft drink, cream soda, diet",7102,Diet soft drinks
92410510,"Soft drink, fruit flavored, caffeine free",7202,Soft drinks
92410520,"Soft drink, fruit flavored, diet, caffeine free",7102,Diet soft drinks
92410550,"Soft drink, fruit flavored, caffeine containing",7202,Soft drinks
92410560,"Soft drink, fruit flavored, caffeine containing, diet",7102,Diet soft drinks
92410610,"Soft drink, ginger ale",7202,Soft drinks
92410620,"Soft drink, ginger ale, diet",7102,Diet soft drinks
92410710,"Soft drink, root beer",7202,Soft drinks
92410720,"Soft drink, root beer, diet",7102,Diet soft drinks
92410810,"Soft drink, chocolate flavored",7202,Soft drinks
92410820,"Soft drink, chocolate flavored, diet",7102,Diet soft drinks
92411510,"Soft drink, cola, fruit or vanilla flavored",7202,Soft drinks
92411520,"Soft drink, cola, chocolate flavored",7202,Soft drinks
92411610,"Soft drink, cola, fruit or vanilla flavored, diet",7102,Diet soft drinks
92411620,"Soft drink, cola, chocolate flavored, diet",7102,Diet soft drinks
92432000,"Fruit juice drink, citrus, carbonated",7204,Fruit drinks
92433000,"Fruit juice drink, noncitrus, carbonated",7204,Fruit drinks
92510610,Fruit juice drink,7204,Fruit drinks
92510650,Tamarind drink,7204,Fruit drinks
92510720,"Fruit punch, made with fruit juice and soda",7204,Fruit drinks
